Region,OutageTime,Loss,Customers,RestorationTime,Cause
SouthWest,2002-02-01 12:18,458.9772218,1820159.482,2002-02-07 16:50,winter storm
SouthEast,2003-01-23 00:49,530.1399497,212035.3001,,winter storm
SouthEast,2003-02-07 21:15,289.4035493,142938.6282,2003-02-17 08:14,winter storm
West,2004-04-06 05:44,434.8053524,340371.0338,2004-04-06 06:10,equipment fault
MidWest,2002-03-16 06:18,186.4367788,212754.055,2002-03-18 23:23,severe storm
West,2003-06-18 02:49,0,0,2003-06-18 10:54,attack
West,2004-06-20 14:39,231.2947226,,2004-06-20 19:16,equipment fault
West,2002-06-06 19:28,311.8607324,,2002-06-07 00:51,equipment fault
NorthEast,2003-07-16 16:23,239.9328468,49434.48932,2003-07-17 01:12,fire
MidWest,2004-09-27 11:09,286.7213417,66103.81746,2004-09-27 16:37,equipment fault
SouthEast,2004-09-05 17:48,73.38734293,36073.03102,2004-09-05 20:46,equipment fault
West,2004-05-21 21:45,159.9865063,,2004-05-22 04:23,equipment fault
SouthEast,2002-09-01 18:22,95.91657349,36758.57704,2002-09-01 19:12,severe storm
SouthEast,2003-09-27 07:32,,355170.6825,2003-10-04 07:02,severe storm
West,2003-11-12 06:12,254.0860816,924291.6474,2003-11-17 02:04,winter storm
NorthEast,2004-09-18 05:54,0,0,,equipment fault
NorthEast,2004-11-13 10:42,,142272.6283,2004-11-19 02:31,winter storm
SouthEast,2004-12-06 23:18,,37135.80898,2004-12-14 03:21,winter storm
SouthEast,2002-12-12 18:08,46.91814043,106975.9941,2002-12-14 18:43,winter storm
West,2004-12-21 18:50,112.0487995,798499.3492,2004-12-29 03:46,winter storm
West,2002-12-16 13:43,70.75188906,481926.6718,2002-12-19 09:38,winter storm
NorthEast,2004-12-26 22:18,255.4536147,104443.9175,2004-12-27 14:11,winter storm
NorthEast,2003-12-17 15:11,,66692.25477,2003-12-19 07:22,winter storm
MidWest,2005-02-04 08:18,,,2005-02-04 19:51,attack
SouthEast,2005-03-08 16:37,1339.205687,430026.6893,2005-03-10 20:42,winter storm
MidWest,2002-03-26 01:59,388.0408135,564223.7059,2002-03-28 19:55,winter storm
NorthEast,2003-03-27 08:03,204.7852343,147898.2915,2003-03-28 05:54,severe storm
SouthEast,2003-02-24 06:13,0,0,2003-02-24 21:18,attack
SouthEast,2005-05-07 00:07,65.94957453,47139.86162,2005-05-07 09:26,thunder storm
SouthWest,2004-06-06 05:27,559.4085951,218997.2034,2004-06-06 05:55,equipment fault
SouthEast,2003-04-13 01:58,124.7588296,1.014166655,2003-05-20 11:09,unknown
West,2005-06-29 08:37,601.1298139,32004.5998,2005-06-29 08:57,equipment fault
West,2003-04-14 07:11,276.4111186,1.564707741,2003-04-14 08:52,equipment fault
MidWest,2005-06-29 11:51,165.766254,62167.23228,2005-06-29 15:23,thunder storm
MidWest,2003-06-25 14:03,77.43175538,123280.8405,2003-06-28 07:02,thunder storm
MidWest,2002-07-01 04:33,203.9364592,60649.62007,2002-07-02 14:54,severe storm
MidWest,2002-07-01 08:18,100.7084874,181164.0553,2002-07-01 11:33,severe storm
MidWest,2003-07-06 14:44,,82270.95008,2003-07-06 23:02,thunder storm
MidWest,2004-07-02 09:16,15127.54576,201044.9457,2004-07-06 14:11,thunder storm
SouthEast,2002-07-14 21:32,90.83033049,60133.20582,2002-07-14 23:53,thunder storm
SouthWest,2004-07-18 14:40,340.3498842,149633.074,2004-07-26 23:34,severe storm
NorthEast,2005-07-28 21:12,587.1274138,206453.8862,2005-08-01 02:54,severe storm
West,2003-10-21 17:25,235.1200775,51495.92737,2003-10-21 19:43,equipment fault
MidWest,2002-04-20 16:46,23141.16309,,,unknown
MidWest,2002-12-10 10:45,14493.30951,3087865.626,2002-12-11 18:06,unknown
MidWest,2002-05-18 11:04,1389.050919,134469.9251,2002-05-21 01:22,unknown
MidWest,2003-09-22 00:53,3995.816773,678075.0288,2003-09-23 03:45,unknown
NorthEast,2005-11-05 12:46,2966.136023,,2005-11-06 21:40,unknown
NorthEast,2002-08-17 09:05,21672.59264,,2002-08-19 21:45,unknown
NorthEast,2003-06-29 20:36,,557346.7426,2003-06-30 04:08,unknown
NorthEast,2004-09-16 19:42,4718.027399,,,unknown
NorthEast,2002-05-20 10:57,9116.561146,2498272.519,2002-05-21 15:22,unknown
NorthEast,2005-08-27 20:00,445.1616396,107788.4971,2005-08-30 09:28,thunder storm
SouthEast,2003-09-05 20:15,1700.053463,163926.4533,2003-09-10 19:59,thunder storm
MidWest,2002-07-10 01:49,168.0213725,,2002-07-10 17:20,equipment fault
SouthEast,2004-09-20 12:37,8767.284208,2224947.038,2004-10-02 06:00,severe storm
SouthEast,2005-09-14 15:45,1839.215679,341438.0416,,severe storm
NorthEast,2003-09-14 16:09,2011.32548,693680.902,2003-09-24 07:44,severe storm
NorthEast,2003-09-08 17:55,4112.749974,319038.0349,2003-09-14 02:30,severe storm
SouthEast,2003-09-19 19:41,624.1201418,68107.60761,2003-09-21 05:03,severe storm
SouthEast,2005-09-26 20:30,,791922.498,2005-10-03 06:47,severe storm
