MatfileSaveFormat,matlab.general.matfile,SaveFormat,String
HelpDocCenterLocation,matlab.help,DocCenterLocation,String
HelpInstalledProductFilter,matlab.help,InstalledProductFilter,String
HelpPopupShowsBrowser,matlab.help,PopupShowsBrowser,Boolean
HelpSearchStemming,matlab.help,SearchStemming,Boolean
HelpShow3pDocInBrowser,matlab.help,Show3pDocInBrowser,Boolean
HelpShowUninstalledProducts,matlab.help,ShowUninstalledProducts,Boolean
HelpUninstalledProductFilter,matlab.help,UninstalledProductFilter,String
HTMLBrowserTabMaximum,matlab.web,BrowserTabMaximum,Integer
HTMLExternalLinkIsOk,matlab.web,ExternalLinkIsOk,Boolean
HTMLFindPanel,matlab.web,FindPanel,String
HTMLMaxFileSize,matlab.web,MaxFileSize,Double
HTMLProxyHost,matlab.web,ProxyHost,String
HTMLProxyPassword,matlab.web,ProxyPassword,String
HTMLProxyPort,matlab.web,ProxyPort,String
HTMLProxyUsername,matlab.web,ProxyUsername,String
HTMLSystemBrowser,matlab.web,SystemBrowser,String
HTMLSystemBrowserOptions,matlab.web,SystemBrowserOptions,String
HTMLUseProxy,matlab.web,UseProxy,Boolean
HTMLUseProxyAuthentication,matlab.web,UseProxyAuthentication,Boolean
HTML.Zoom,matlab.web,Zoom,Integer
EditorBuiltinEditor,matlab.editor,UseMATLABEditor,Boolean
EditorOtherEditorTextFieldEntry,matlab.editor,OtherEditor,String
EditorMRUSize,matlab.editor,RecentFileListSize,Integer
EditorReloadFiles,matlab.editor,ReopenFilesOnRestart,Boolean
EditorGraphicalDebugging,matlab.editor,OpenFileAtBreakpoint,Boolean
EditorSaveOnBlur,matlab.editor,SaveFilesOnClickAway,Boolean
EditorAutoReloadFiles,matlab.editor,ReloadFilesOnChange,Boolean
EditorAutoTerminateLastLine,matlab.editor,AddLineTerminationOnSave,Boolean
Editorhighlight-caret-row-boolean,matlab.editor.displaysettings,HighlightCurrentLine,Boolean
Editorhighlight-caret-row-boolean-color,matlab.editor.displaysettings,HighlightCurrentLineColor,Color
EditorShowLineNumbers,matlab.editor.displaysettings,ShowLineNumbers,Boolean
EditorEnableDataTips,matlab.editor.displaysettings,DataTipsInEditMode,Boolean
EditorRightTextLineVisible,matlab.editor.displaysettings.linelimit,ShowLine,Boolean
EditorRightTextLineLimit,matlab.editor.displaysettings.linelimit,LineColumn,Integer
EditorRightTextLimitLineWidth,matlab.editor.displaysettings.linelimit,LineWidth,Integer
EditorRightTextLimitLineColor,matlab.editor.displaysettings.linelimit,LineColor,Color
EditorSpacesPerTab,matlab.editor.tab,TabSize,Integer
EditorTabToSpaces,matlab.editor.tab,InsertSpaces,Boolean
EditorSpacesPerIndent,matlab.editor.tab,IndentSize,Integer
EditorEmacsTab,matlab.editor.tab,EmacsStyle,Boolean
Editor.Language.MATLAB.SyntaxHighlighting,matlab.editor.language.matlab,EnableSyntaxHighlighting,Boolean
Editor.VariableHighlighting.VariableQuickRename,matlab.editor.language.matlab,EnableVariableAndFunctionRenaming,Boolean
EditorMaxCommentWidth,matlab.editor.language.matlab.comments,MaxWidth,Integer
EditorWrapCommentsFromStartOfComment,matlab.editor.language.matlab.comments,FromCommentStart,Boolean
EditorAutoWrapComments,matlab.editor.language.matlab.comments,WrapAutomatically,Boolean
Editorcode-folding-enable,matlab.editor.codefolding,EnableCodeFolding,Boolean
EditorAutoSaveOn,matlab.editor.backup,EnableFileBackup,Boolean
EditorAutoSaveInt,matlab.editor.backup,Frequency,Double
EditorAutoSaveUntitled,matlab.editor.backup,SaveUntitled,Boolean
EditorAutoSaveDeleteFiles2,matlab.editor.backup,DeleteOnClose,Boolean
EditorAutoSaveReplaceExt,matlab.editor.backup,FileExtensionToReplace,String
EditorAutoSaveAppendExt,matlab.editor.backup,FileExtensionToAppend,String
EditorAutoSaveSameDirectory,matlab.editor.backup,SaveIntoSourceFolder,Boolean
EditorAutoSaveDirectory,matlab.editor.backup,SaveToFolder,String
LiveEditorSmartFormatting,matlab.editor.autoformat,EnableAutoFormatting,Boolean
LiveEditorSmartFormattingItalicBoldStar,matlab.editor.autoformat,AsteriskForItalicAndBold,Boolean
LiveEditorSmartFormattingItalicBoldUnderscore,matlab.editor.autoformat,UnderscoreForItalicAndBold,Boolean
LiveEditorSmartFormattingMonospace,matlab.editor.autoformat,BacktickAndBarForMonospace,Boolean
LiveEditorSmartFormattingSectionBreakSeparator,matlab.editor.autoformat,SectionBreak,Boolean
LiveEditorSmartFormattingSectionBreakHeading,matlab.editor.autoformat,SectionBreakAndHeading,Boolean
LiveEditorSmartFormattingEquation,matlab.editor.autoformat,DollarSignForLatex,Boolean
LiveEditorSmartFormattingHyperlinkUrltag,matlab.editor.autoformat,URLToHyperlink,Boolean
LiveEditorSmartFormattingHyperlink,matlab.editor.autoformat,AngleBracketsForHyperlink,Boolean
LiveEditorSmartFormattingHyperlinkLabelurl,matlab.editor.autoformat,LabelURLToHyperlink,Boolean
LiveEditorSmartFormattingTitle,matlab.editor.autoformat,HashtagForTitle,Boolean
LiveEditorSmartFormattingHeading,matlab.editor.autoformat,DoubleHashtagForHeading,Boolean
LiveEditorSmartFormattingBulletedlist,matlab.editor.autoformat,AutomaticBulletedList,Boolean
LiveEditorSmartFormattingNumberedlist,matlab.editor.autoformat,AutomaticNumberedList,Boolean
LiveEditorAutomaticCoding,matlab.editor.autocoding,EnableAutoCoding,Boolean
LiveEditorAutomaticCodingCurlyParentheses,matlab.editor.autocoding,CurlyBraces,Boolean
